
Alpha

~/ensino/private/E2/Alpha ~/ensino/private
Kappa |asl11 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl120 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl121 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl122 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl123 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl124 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl125 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl126 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl127 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl128 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl129 - NOK - "-- Invalid input. Retorno: 1"
Kappa |asl12 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl130 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl131 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl132 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl133 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl134 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl135 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl136 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl137 - OK - "-- Invalid input. Retorno: 1"
Kappa |asl138 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl139 - OK - "-- Program recognized. Retorno: 0"
Kappa |asl13 - OK - "-- Invalid input. Retorno: 1"
